Impression_ID,Userid,Listing_ID,Plus,Rank,Price,Booked
1,05STgCGK,793723,0,1,250,0
2,05STgCGK,5374761,0,2,210,0
3,05STgCGK,7576657,0,3,186,0
4,05STgCGK,11815241,0,4,282,0
5,05STgCGK,13140432,0,5,235,0
6,05STgCGK,14068513,0,6,282,0
7,05STgCGK,14071933,0,7,282,0
8,05STgCGK,14072680,0,8,282,0
9,05STgCGK,20322055,0,9,252,0
10,05STgCGK,20322202,0,10,223,0
11,05STgCGK,21062970,0,11,235,0
12,05STgCGK,21267121,0,12,282,0
13,05STgCGK,27668343,0,13,250,0
14,05STgCGK,28483791,0,14,124,0
15,05STgCGK,28488431,0,15,208,0
16,05STgCGK,28495316,0,16,150,0
17,05STgCGK,31571374,0,17,243,0
18,05STgCGK,31802949,0,18,200,0
19,05STgCGK,32118568,0,19,173,0
20,05STgCGK,36104319,0,20,188,0
21,05STgCGK,36637796,0,21,178,0
22,05STgCGK,36982780,0,22,95,0
23,05STgCGK,38022100,0,23,203,0
24,05STgCGK,38123319,0,24,210,0
25,05STgCGK,38151123,0,25,210,0
26,05STgCGK,38678234,0,26,399,0
27,05STgCGK,39007825,0,27,174,1
28,05STgCGK,39359174,0,28,219,0
29,05STgCGK,39569048,0,29,175,0
30,05STgCGK,40536667,0,30,234,0
31,05STgCGK,42049771,0,31,169,0
32,05STgCGK,43123765,0,32,245,0
33,05STgCGK,43156280,0,33,182,0
34,05STgCGK,43348175,0,34,200,0
35,05STgCGK,43367113,0,35,185,0
36,05STgCGK,43820536,0,36,189,0
37,05STgCGK,44519908,0,37,100,0
38,05STgCGK,44608896,0,38,227,0
39,05STgCGK,45053706,0,39,160,0
40,05STgCGK,45469731,0,40,178,0
41,3nCRpl1q,793723,0,1,250,0
42,3nCRpl1q,5374761,0,2,210,0
43,3nCRpl1q,7576657,0,3,186,0
44,3nCRpl1q,11815241,0,4,282,0
45,3nCRpl1q,13140432,0,5,235,0
46,3nCRpl1q,14068513,0,6,282,0
47,3nCRpl1q,14071933,0,7,282,0
48,3nCRpl1q,14072680,0,8,282,0
49,3nCRpl1q,20322055,0,9,252,0
50,3nCRpl1q,20322202,0,10,223,0
51,3nCRpl1q,21062970,0,11,235,0
52,3nCRpl1q,21267121,0,12,282,0
53,3nCRpl1q,27668343,0,13,250,0
54,3nCRpl1q,28483791,0,14,124,0
55,3nCRpl1q,28488431,0,15,208,0
56,3nCRpl1q,28495316,0,16,150,0
57,3nCRpl1q,31571374,0,17,243,0
58,3nCRpl1q,31802949,0,18,200,0
59,3nCRpl1q,32118568,0,19,173,0
60,3nCRpl1q,36104319,0,20,188,0
61,3nCRpl1q,36637796,0,21,178,0
62,3nCRpl1q,36982780,0,22,95,0
63,3nCRpl1q,38022100,0,23,203,0
64,3nCRpl1q,38123319,0,24,210,0
65,3nCRpl1q,38151123,0,25,210,0
66,3nCRpl1q,38678234,0,26,399,0
67,3nCRpl1q,39007825,0,27,174,0
68,3nCRpl1q,39359174,0,28,219,0
69,3nCRpl1q,39569048,0,29,175,0
70,3nCRpl1q,40536667,0,30,234,1
71,3nCRpl1q,42049771,0,31,169,0
72,3nCRpl1q,43123765,0,32,245,0
73,3nCRpl1q,43156280,0,33,182,0
74,3nCRpl1q,43348175,0,34,200,0
75,3nCRpl1q,43367113,0,35,185,0
76,3nCRpl1q,43820536,0,36,189,0
77,3nCRpl1q,44519908,0,37,100,0
78,3nCRpl1q,44608896,0,38,227,0
79,3nCRpl1q,45053706,0,39,160,0
80,3nCRpl1q,45469731,0,40,178,0
81,3qXhCSTm,793723,0,1,250,0
82,3qXhCSTm,5374761,0,2,210,0
83,3qXhCSTm,7576657,0,3,186,0
84,3qXhCSTm,11815241,0,4,282,0
85,3qXhCSTm,13140432,0,5,235,0
86,3qXhCSTm,14068513,0,6,282,0
87,3qXhCSTm,14071933,0,7,282,0
88,3qXhCSTm,14072680,0,8,282,0
89,3qXhCSTm,20322055,0,9,252,1
90,3qXhCSTm,20322202,0,10,223,0
91,3qXhCSTm,21062970,0,11,235,0
92,3qXhCSTm,21267121,0,12,282,0
93,3qXhCSTm,27668343,0,13,250,0
94,3qXhCSTm,28483791,0,14,124,0
95,3qXhCSTm,28488431,0,15,208,0
96,3qXhCSTm,28495316,0,16,150,0
97,3qXhCSTm,31571374,0,17,243,0
98,3qXhCSTm,31802949,0,18,200,0
99,3qXhCSTm,32118568,0,19,173,0
100,3qXhCSTm,36104319,0,20,188,0
101,3qXhCSTm,36637796,0,21,178,0
102,3qXhCSTm,36982780,0,22,95,0
103,3qXhCSTm,38022100,0,23,203,0
104,3qXhCSTm,38123319,0,24,210,0
105,3qXhCSTm,38151123,0,25,210,0
106,3qXhCSTm,38678234,0,26,399,0
107,3qXhCSTm,39007825,0,27,174,0
108,3qXhCSTm,39359174,0,28,219,0
109,3qXhCSTm,39569048,0,29,175,0
110,3qXhCSTm,40536667,0,30,234,0
111,3qXhCSTm,42049771,0,31,169,0
112,3qXhCSTm,43123765,0,32,245,0
